county_fips,mal_rate_increase_pct,covered_base_acres
27083,10.0007652985691,1536419.18
27085,10.0010287325967,912867.545
27087,10.0097583124892,652756.94
27089,10.0321154963877,2613331.95
27093,10.0007095990342,1958984.4108
27095,10.0002154501945,166507.16
27097,10.0001536698552,1105937.79
27099,10.0000902265757,3278127.29
27101,10.0002576568372,1644440.74
27103,10.0004211503429,950382.7
27105,10.0010705151727,1842013.5
27107,10.0151423711461,1707195.29
27109,10.0001779215739,800843.86
27111,10.0030156654497,996132.91
27112,10.0076674216436,1966311.78
27113,10.0261171346405,986843
27115,10.000557311754,117162.79
27117,10.0002531232292,1590619.72
27119,10.0227631643606,1467009.91
27120,10.0345059483493,4590016.24
27121,10.0015449908542,1769124
27125,10.0246903789893,688128.85
27127,10.0004344641392,2097681.99
27129,10.0008802702974,2175180.63
27131,10.0004370015142,1155162.13
27133,10.0000434283379,1878266.68
27135,10.0268272427605,1327451.23
27137,10.0088127592547,1974.41
27139,10.0009820302338,290990.43
27143,10.0006150834442,1234799.94
27145,10.0004565320794,2504892.54
27147,10.0003506214112,871384.32
27149,10.0014925305099,2378912.04
27151,10.0012564301861,3061353.86
27153,10.0008246243195,1026640.35
27155,10.003991159621,1353598.08
27157,10.0001385843373,997710.15
27159,10.0003388069689,268355.46
27161,10.000438420353,941096.82
27163,10.0004844578819,238524.76
27165,10.0000594057372,2211099.57
27167,10.0083885847661,2759872.32
27169,10.0003053703283,506119.9
27171,10.0003799040994,1245048.95
27173,10.0010709185031,2711338.53
28103,10.0021161034537,484700.31
29007,10.0048804097134,2010765.73
29011,10.0193933330704,1314149.76
29013,10.0092222251161,1562684.3
29017,10.0072279306275,376690.14
29025,10.0131415032955,325797.43
29027,10.0092138785373,674780.33
29031,10.0098418404828,847250.31
29037,10.0046387906245,591960.41
29039,10.0263758254145,47088.46
29051,10.0082409798758,43137.71
29053,10.0113310206644,355822.65
29071,10.0042781959344,158076.07
29073,10.010883436572,79538.2459
29075,10.006297343816,387115.5
29077,10.0258867892773,19488.79
29097,10.0137738570707,503107.66
29099,10.0062908834245,36227.09
29103,10.0058689716116,411878.53
29109,10.0161621171635,80723.1
29125,10.0139530168888,11601.19
29135,10.0198035074031,114323.9
29139,10.0065053368443,1046106.03
29145,10.0274655485376,29451.58
29147,10.0017048948588,1064646.65
29151,10.0030868553292,136665.88
29157,10.0070121699078,457277.91
29159,10.0043317843159,739944.32
29163,10.0055064999549,871652.2
29185,10.0169033399658,149547.64
29193,10.0098933022391,144172.66
29217,10.016995755499,1055888.56
29219,10.0047310797241,311548.84
30003,10.07345470261,327515.89
30005,10.0864230490429,1503344.85
30007,10.0432905956832,101781.45
30009,10.0313679403431,53031.26
30011,10.2742086939196,236090.06
30013,10.0690345437401,923740.45
30015,10.0676670156337,4986230.67
30017,10.0454373277571,131830.53
30019,10.776882808078,1002187.25
30021,10.1672379252221,1362017.18
30025,10.4028677435902,291378.77
30027,10.080666318459,339835.55
30029,10.2720438364105,27880.02
30031,10.1151402312427,195236.45
30033,10.0982265935485,497463.06
30035,10.2051284512099,695266.32
30037,10.0664689524133,85533.54
30041,10.1477499734395,1441898.09
30045,10.0693518380753,251770.42
30049,10.0342585082241,69116.95
30051,10.1674697708815,2034971.68
30055,10.3011196149458,1507210.23
30057,10.0695599628729,31416.44
30063,10.0330974488958,9807.91
30065,10.0434182175062,193739.69
30067,10.035978575197,88366.74
30071,10.1329172865503,1570052.76
30073,10.1767543820038,1335579.05
30079,10.1619864472718,326077.52
30083,10.1194910094469,1350073.78
30085,10.2377404546682,2346387.8
30087,10.045052627413,340602.91
30091,10.4049943864945,1474195.12485
30095,10.0385208162226,148347.76
30097,10.0250821299978,10906.49
30099,10.0434492495621,2374862.17
30101,10.1114526066741,736477.96
30103,10.0399244101527,77497.18
30105,10.3760040433867,2770855.41
30107,10.0450699572451,158992.11
30109,10.5223962198478,321061.15
30111,10.0806457575641,431691.73
31003,10.0000291400958,2504672.62
31007,10.0906348128227,337476.8
31013,10.080987382792,1025172.92
31015,10.0017191889464,529677.44
31019,10.0018022088551,2557254.22
31027,10.0000315695019,2410757.07
31031,10.0020503328151,133856.61
31033,10.2156853690299,614366.03
31037,10.0001121041828,1693719.14
31041,10.0023412100085,2326934.44
31043,10.0000424166753,985353.04
31049,10.0537705383963,531388.86
31051,10.000025947897,1736950.01
31057,10.0105900458436,1226621.47
31063,10.0159746019762,1523197.25
31065,10.0191180362831,1857918.72
31083,10.010470184603,1502748.06
31085,10.0169550768293,1061802.39
31087,10.0272817607672,1356138.84
31093,10.0007168810166,1110038.6
31101,10.0185339983874,1237555.46
31105,10.045570048495,545790.67
31107,10.0002835548696,2117886.3932
31111,10.0051765948867,1934819.4926
31135,10.0306186164491,2052967.5662
31145,10.0209022532952,1765298.18
31155,10.0003875863821,2709949.7
31157,10.00507441171,445585.11
31161,10.0251259371486,416853.57
31163,10.0022759552939,908703.35
31165,10.0233403209794,81066.88
31167,10.0000649952463,1423996.45
34005,10.0027168035648,138241.5
34011,10.0051964776668,101326.02
34015,10.009091096789,44558.98
34019,10.0078435803844,43744.13
34021,10.005871988302,21418.98
34023,10.0041006029008,16632.92
34025,10.0058601977872,25252.39
34029,10.0080440676507,3485.55
34033,10.0026907465016,330009.46
34041,10.0021961251162,88738.66
